work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
8.01,Gruntowanie gruntem podkładowym x2 - glify okienne lub wnęki,mb,construction,GRUNT_UNIWERSALNY,Grunt uniwersalny CT 17 (odp.),l,0.15,budget,0,Gruntowanie x2 zuzywa ~0.15 l/mb grunt uniwersalny; anchor Excela 0.15 l pogodzony z zuzyciem 0.05-0.2 l/m2 na warstwe wg producenta.,Грунтование x2 расходует ~0.15 л/пм универсального грунта; якорь Excel 0.15 л согласован с расходом 0.05-0.2 л/м2 на слой по данным производителя.,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.01 arkusza Oferta, kolumna Grunt CT17"
8.01,Gruntowanie gruntem podkładowym x2 - glify okienne lub wnęki,mb,construction,GRUNT_UNIWERSALNY,Atlas Uni-Grunt,l,0.15,"norm,lux",0,"Gruntowanie x2 zuzywa ~0.15 l/mb; karta Atlas Uni-Grunt podaje 0.05-0.2 l/m2 na warstwe, wiec ~0.075 l/warstwe x2 miesci sie w zakresie.","Грунтование x2 расходует ~0.15 л/пм; карта Atlas Uni-Grunt указывает 0.05-0.2 л/м2 на слой, т.е. ~0.075 л/слой x2 в пределах диапазона.",producer_tds,Atlas Uni-Grunt — Karta techniczna,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9532_20240506_095608.pdf,sekcja Consumption/Zuzycie (0.05-0.2 l/m2 na warstwe)
8.01,Gruntowanie gruntem podkładowym x2 - glify okienne lub wnęki,mb,construction,GRUNT_UNIWERSALNY,Knauf Universalgrund,l,0.15,lux,0,"Wariant lux; gruntowanie x2 ~0.15 l/mb, zgodne z zuzyciem gruntu glebokopenetrujacego Knauf na chlonne podloza.","Вариант lux; грунтование x2 ~0.15 л/пм, соответствует расходу грунта глубокого проникновения Knauf на впитывающие основания.",producer_tds,Knauf Tiefengrund/Universalgrund — Karta techniczna,https://knauf.com/de-DE/p/produkt/tiefengrund-10144_0010,sekcja Verbrauch/Zuzycie
8.02,Gruntowanie gruntem podkładowym x2 - sufity,m2,construction,GRUNT_UNIWERSALNY,Grunt uniwersalny CT 17 (odp.),l,0.15,budget,0,"Gruntowanie x2 sufitu zuzywa ~0.15 l/m2 grunt uniwersalny; anchor Excela, chlonny sufit blisko gornej granicy zakresu.","Грунтование x2 потолка расходует ~0.15 л/м2 универсального грунта; якорь Excel, впитывающий потолок у верхней границы диапазона.",excel,Excel Matrix v3.0 Oferta,,"wiersz 8.02 arkusza Oferta, kolumna Grunt CT17"
8.02,Gruntowanie gruntem podkładowym x2 - sufity,m2,construction,GRUNT_UNIWERSALNY,Atlas Uni-Grunt,l,0.15,"norm,lux",0,Gruntowanie x2 sufitu ~0.15 l/m2; karta Atlas Uni-Grunt 0.05-0.2 l/m2 na warstwe potwierdza ~0.075 l/warstwe x2.,Грунтование x2 потолка ~0.15 л/м2; карта Atlas Uni-Grunt 0.05-0.2 л/м2 на слой подтверждает ~0.075 л/слой x2.,producer_tds,Atlas Uni-Grunt — Karta techniczna,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9532_20240506_095608.pdf,sekcja Consumption/Zuzycie (0.05-0.2 l/m2 na warstwe)
8.02,Gruntowanie gruntem podkładowym x2 - sufity,m2,construction,GRUNT_UNIWERSALNY,Knauf Universalgrund,l,0.15,lux,0,Wariant lux; gruntowanie x2 sufitu ~0.15 l/m2 wg zuzycia gruntu Knauf na podloza chlonne.,Вариант lux; грунтование x2 потолка ~0.15 л/м2 по расходу грунта Knauf на впитывающие основания.,producer_tds,Knauf Tiefengrund/Universalgrund — Karta techniczna,https://knauf.com/de-DE/p/produkt/tiefengrund-10144_0010,sekcja Verbrauch/Zuzycie
8.03,Gruntowanie gruntem podkładowym x2 - ściany,m2,construction,GRUNT_UNIWERSALNY,Grunt uniwersalny CT 17 (odp.),l,0.15,budget,0,Gruntowanie x2 sciany zuzywa ~0.15 l/m2 grunt uniwersalny; anchor Excela dla scian.,Грунтование x2 стены расходует ~0.15 л/м2 универсального грунта; якорь Excel для стен.,excel,Excel Matrix v3.0 Oferta,,"wiersz 8.03 arkusza Oferta, kolumna Grunt CT17"
8.03,Gruntowanie gruntem podkładowym x2 - ściany,m2,construction,GRUNT_UNIWERSALNY,Atlas Uni-Grunt,l,0.15,"norm,lux",0,Gruntowanie x2 sciany ~0.15 l/m2; karta Atlas Uni-Grunt 0.05-0.2 l/m2 na warstwe potwierdza norme.,Грунтование x2 стены ~0.15 л/м2; карта Atlas Uni-Grunt 0.05-0.2 л/м2 на слой подтверждает норму.,producer_tds,Atlas Uni-Grunt — Karta techniczna,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9532_20240506_095608.pdf,sekcja Consumption/Zuzycie (0.05-0.2 l/m2 na warstwe)
8.03,Gruntowanie gruntem podkładowym x2 - ściany,m2,construction,GRUNT_UNIWERSALNY,Knauf Universalgrund,l,0.15,lux,0,Wariant lux; gruntowanie x2 sciany ~0.15 l/m2 wg zuzycia gruntu Knauf.,Вариант lux; грунтование x2 стены ~0.15 л/м2 по расходу грунта Knauf.,producer_tds,Knauf Tiefengrund/Universalgrund — Karta techniczna,https://knauf.com/de-DE/p/produkt/tiefengrund-10144_0010,sekcja Verbrauch/Zuzycie
8.04,Szlifowanie tynku - glify okienne lub wnęki,mb,construction,PAPIER_SCIERNY,Papier ścierny arkusz gr.120,szt,0.20,budget,0,"Szlifowanie zuzywa material scierny, nie gladz; ~0.2 arkusza papieru gr.120 na mb glifu wg praktyki wykonawczej (kolumny gladzi w Excelu to artefakt arkusza).","Шлифование расходует абразив, а не шпаклёвку; ~0.2 листа бумаги зерно 120 на пм откоса по практике (столбцы шпаклёвки в Excel - артефакт листа).",expert,Praktyka wykonawcza (material scierny zuzywalny),,zalozenie eksperckie ~0.2 arkusza/mb; SKU papieru gr.120 w katalogu
